No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|Year
1|27/07/2020|Vente|80000,00|4.0|RUE|1740|MANUEL|13100.0|AIX EN PROVENCE|13|1||AE|312|31.0|1|3.0|Dépendance|0.0|0.0|2018
1|31/07/2020|Vente|280075,00|9003.0|CHE|1127|DU FOUR|13100.0|AIX EN PROVENCE|13|1||BC|5|10.0|2|2.0|Appartement|62.0|3.0|2018
1|31/07/2020|Vente|280075,00|9003.0|CHE|1127|DU FOUR|13100.0|AIX EN PROVENCE|13|1||BC|5|18.0|1|3.0|Dépendance|0.0|0.0|2018
1|06/08/2020|Vente|204000,00|26.0|CHE|0103|DES INFIRMERIES|13100.0|AIX EN PROVENCE|13|1||EL|108|38.0|1|2.0|Appartement|36.0|2.0|2018
1|06/08/2020|Vente|204000,00|26.0|CHE|0103|DES INFIRMERIES|13100.0|AIX EN PROVENCE|13|1||EL|108|141.0|1|3.0|Dépendance|0.0|0.0|2018
1|10/08/2020|Vente|279100,00|9.0|RUE|3030|VAN LOO|13100.0|AIX EN PROVENCE|13|1||AR|87|11.0|1|2.0|Appartement|24.0|2.0|2018
1|05/08/2020|Vente|1805950,00|375.0|CHE|2121|DE L OLIVETTE|13100.0|AIX EN PROVENCE|13|1||EC|171||0|1.0|Maison|250.0|6.0|2018
1|05/08/2020|Vente|1805950,00|375.0|CHE|2121|DE L OLIVETTE|13100.0|AIX EN PROVENCE|13|1||EC|171||0|1.0|Maison|250.0|6.0|2018
1|05/08/2020|Vente|1805950,00|375.0|CHE|2121|DE L OLIVETTE|13100.0|AIX EN PROVENCE|13|1||EC|171||0|1.0|Maison|250.0|6.0|2018
1|05/08/2020|Vente|1805950,00|||B084|CAMPAGNE REPENTANCE|13100.0|AIX EN PROVENCE|13|1||EC|175||0|||||2018
1|05/08/2020|Vente|1805950,00|||B084|CAMPAGNE REPENTANCE|13100.0|AIX EN PROVENCE|13|1||EC|176||0|||||2018
1|10/08/2020|Vente|19000,00|26.0|CHE|0103|DES INFIRMERIES|13100.0|AIX EN PROVENCE|13|1||EL|108|11.0|1|3.0|Dépendance|0.0|0.0|2018
1|24/06/2020|Vente|183000,00|16.0|TSSE|0410|BRESSIER|13100.0|AIX EN PROVENCE|13|1||AE|80|3.0|1|2.0|Appartement|27.0|2.0|2018
1|13/08/2020|Vente|60000,00|4.0|PL|2678|ROMEE DE VILLENEUVE|13100.0|AIX EN PROVENCE|13|1||CO|18|118.0|3|4.0|Local industriel. commercial ou assimilé|43.0|0.0|2018
1|05/08/2020|Vente|160000,00|31.0|RUE|0740|DE LA COURONNE|13100.0|AIX EN PROVENCE|13|1||AM|75|9.0|1|2.0|Appartement|37.0|2.0|2018
1|05/08/2020|Vente|120000,00|21.0|CRS|2790|SAINT LOUIS|13100.0|AIX EN PROVENCE|13|1||AD|15|10.0|2|2.0|Appartement|23.0|1.0|2018
1|07/08/2020|Vente|247200,00|6.0|RUE|3030|VAN LOO|13100.0|AIX EN PROVENCE|13|1||AP|42|5.0|1|2.0|Appartement|66.0|2.0|2018
1|30/07/2020|Vente|137500,00|25.0|RUE|0801|DE CUQUES|13100.0|AIX EN PROVENCE|13|1||BV|17|258.0|1|2.0|Appartement|28.0|1.0|2018
1|13/08/2020|Vente|280000,00|1.0|CRS|2140|D ORBITELLE|13100.0|AIX EN PROVENCE|13|1||BX|199|14.0|1|2.0|Appartement|56.0|3.0|2018
1|19/08/2020|Vente|365000,00|9001.0|RES|A190|LES PINS AVE ST JEROME|13100.0|AIX EN PROVENCE|13|1||BY|48|80.0|2|4.0|Local industriel. commercial ou assimilé|97.0|0.0|2018
1|17/08/2020|Vente|960000,00|||B352|LES PLAINES DE CUGIS|13100.0|AIX EN PROVENCE|13|1||OX|285||0|||||2018
1|17/08/2020|Vente|960000,00|||B352|LES PLAINES DE CUGIS|13100.0|AIX EN PROVENCE|13|1||OX|288||0|||||2018
1|18/08/2020|Vente|174000,00|9001.0|RES|A242|ARC DE MEYRAN|13100.0|AIX EN PROVENCE|13|1||BS|8|524.0|1|3.0|Dépendance|0.0|0.0|2018
1|18/08/2020|Vente|174000,00|9001.0|RES|A242|ARC DE MEYRAN|13100.0|AIX EN PROVENCE|13|1||BS|8|201.0|2|2.0|Appartement|51.0|2.0|2018
1|18/08/2020|Vente|14500,00|40.0|PL|1459|JEAN DOMINIQUE CASSINI|13100.0|AIX EN PROVENCE|13|1||KV|102|429.0|1|3.0|Dépendance|0.0|0.0|2018
1|18/08/2020|Vente|106000,00|9.0|RUE|0310|DES BERNARDINES|13100.0|AIX EN PROVENCE|13|1||AM|136|19.0|1|2.0|Appartement|12.0|1.0|2018
1|18/08/2020|Vente|167000,00|8.0|RUE|0740|DE LA COURONNE|13100.0|AIX EN PROVENCE|13|1||AB|257|14.0|2|2.0|Appartement|28.0|2.0|2018
1|18/08/2020|Vente|111400,00|5.0|RUE|1210|GASTON DE SAPORTA|13100.0|AIX EN PROVENCE|13|1||AS|59|51.0|1|2.0|Appartement|18.0|1.0|2018
1|06/08/2020|Vente|455000,00|13.0|AV|2770|SAINT JEROME|13100.0|AIX EN PROVENCE|13|1||BX|144|10.0|1|3.0|Dépendance|0.0|0.0|2018
1|06/08/2020|Vente|455000,00|13.0|AV|2770|SAINT JEROME|13100.0|AIX EN PROVENCE|13|1||BX|144|18.0|2|2.0|Appartement|96.0|4.0|2018
1|03/08/2020|Vente|377000,00|9001.0|RES|A084|LE DAPHNEE 1|13100.0|AIX EN PROVENCE|13|1||BM|131|130.0|2|2.0|Appartement|94.0|5.0|2018
1|07/08/2020|Vente|332600,00|3.0|CHE|0293|DU BELVEDERE|13100.0|AIX EN PROVENCE|13|1||BN|16|37.0|1|3.0|Dépendance|0.0|0.0|2018
1|07/08/2020|Vente|332600,00|3.0|CHE|0293|DU BELVEDERE|13100.0|AIX EN PROVENCE|13|1||BN|16|15.0|1|3.0|Dépendance|0.0|0.0|2018
1|07/08/2020|Vente|332600,00|3.0|CHE|0293|DU BELVEDERE|13100.0|AIX EN PROVENCE|13|1||BN|16|32.0|1|2.0|Appartement|89.0|4.0|2018
1|30/07/2020|Vente|212000,00|40.0|RUE|2920|DES TANNEURS|13100.0|AIX EN PROVENCE|13|1||AB|338|34.0|1|2.0|Appartement|52.0|2.0|2018
1|31/07/2020|Vente|183505,00|4.0|RUE|1840|MATHERON|13100.0|AIX EN PROVENCE|13|1||AC|304|20.0|1|2.0|Appartement|42.0|2.0|2018
1|31/07/2020|Vente|480000,00|4.0|RUE|0268|PAUL BELTCAGUY|13100.0|AIX EN PROVENCE|13|1||BX|49|29.0|2|2.0|Appartement|88.0|4.0|2018
1|31/07/2020|Vente|480000,00|4.0|RUE|0268|PAUL BELTCAGUY|13100.0|AIX EN PROVENCE|13|1||BX|49|42.0|1|3.0|Dépendance|0.0|0.0|2018
1|30/07/2020|Vente en l'état futur d'achèvement|368000,00|||B386|RAVANASSE|13100.0|AIX EN PROVENCE|13|1||LY|577|18.0|1|||||2018
1|30/07/2020|Vente en l'état futur d'achèvement|368000,00|||B386|RAVANASSE|13100.0|AIX EN PROVENCE|13|1||LY|577|38.0|1|||||2018
1|21/08/2020|Vente|252000,00|26.0|RUE|1590|LIEUTAUD|13100.0|AIX EN PROVENCE|13|1||AB|361|8.0|1|2.0|Appartement|50.0|2.0|2018
1|03/08/2020|Vente|178000,00|2.0|RUE|3060|VENEL|13100.0|AIX EN PROVENCE|13|1||AS|71|13.0|2|2.0|Appartement|30.0|1.0|2018
1|20/08/2020|Vente|204500,00|18.0|RUE|1050|FERNAND DOL|13100.0|AIX EN PROVENCE|13|1||AI|28|6.0|1|2.0|Appartement|45.0|2.0|2018
1|30/07/2020|Vente|281243,00|70.0|AV|4300|GEORGES POMPIDOU|13100.0|AIX EN PROVENCE|13|1||AO|156|4.0|1|3.0|Dépendance|0.0|0.0|2018
1|30/07/2020|Vente|281243,00|70.0|AV|4300|GEORGES POMPIDOU|13100.0|AIX EN PROVENCE|13|1||AO|156|115.0|1|2.0|Appartement|51.0|2.0|2018
1|24/08/2020|Vente|86500,00|9001.0|AV|1475|JOSEPH VILLEVIEILLE|13100.0|AIX EN PROVENCE|13|1||AN|61|391.0|1|3.0|Dépendance|0.0|0.0|2018
1|24/08/2020|Vente|86500,00|615.0|AV|3240|WOLFGANG AMADEUS MOZART|13100.0|AIX EN PROVENCE|13|1||AN|61|100.0|1|2.0|Appartement|19.0|1.0|2018
1|24/08/2020|Vente|840300,00|17.0|RUE|0580|CELONY|13100.0|AIX EN PROVENCE|13|1||AR|79||0|1.0|Maison|114.0|5.0|2018
1|25/08/2020|Vente|572890,00|281.0|CHE|2041|MOURET|13100.0|AIX EN PROVENCE|13|1||BC|146||0|1.0|Maison|85.0|5.0|2018
1|24/08/2020|Vente|223000,00|9001.0|RES|A242|ARC DE MEYRAN|13100.0|AIX EN PROVENCE|13|1||BS|8|402.0|2|2.0|Appartement|69.0|3.0|2018
1|24/08/2020|Vente|223000,00|9001.0|RES|A242|ARC DE MEYRAN|13100.0|AIX EN PROVENCE|13|1||BS|8|586.0|1|3.0|Dépendance|0.0|0.0|2018
1|19/08/2020|Vente|417000,00|9001.0|RES|A358|VAL DE LA TORSE|13100.0|AIX EN PROVENCE|13|1||BK|19|267.0|1|3.0|Dépendance|0.0|0.0|2018
1|19/08/2020|Vente|417000,00|9001.0|RES|A358|VAL DE LA TORSE|13100.0|AIX EN PROVENCE|13|1||BK|19|191.0|2|2.0|Appartement|74.0|3.0|2018
1|10/08/2020|Vente|35000,00|18.0|BD|2670|DU ROI RENE|13100.0|AIX EN PROVENCE|13|1||BZ|1|503.0|1|3.0|Dépendance|0.0|0.0|2018
1|11/08/2020|Vente|100000,00|16.0|RUE|0710|DES CORDELIERS|13100.0|AIX EN PROVENCE|13|1||AS|145|1.0|1|4.0|Local industriel. commercial ou assimilé|50.0|0.0|2018
1|04/08/2020|Vente en l'état futur d'achèvement|20000,00|295.0|AV|0039|PAUL ROUBAUD|13100.0|LE THOLONET|13|109||A|2358|13.0|1|3.0|Dépendance|0.0|0.0|2018
1|24/08/2020|Vente en l'état futur d'achèvement|199000,00|||B320|PELCOURT|13100.0|AIX EN PROVENCE|13|1||OR|47|36.0|1|||||2018
1|24/08/2020|Vente en l'état futur d'achèvement|199000,00|||B320|PELCOURT|13100.0|AIX EN PROVENCE|13|1||OR|47|6.0|1|||||2018
1|07/08/2020|Vente|15000,00|19.0|CHE|0712|DU COTON ROUGE|13100.0|AIX EN PROVENCE|13|1||BT|125|266.0|1|3.0|Dépendance|0.0|0.0|2018
1|07/08/2020|Vente|15000,00|19.0|CHE|0712|DU COTON ROUGE|13100.0|AIX EN PROVENCE|13|1||BT|125|265.0|1|3.0|Dépendance|0.0|0.0|2018
1|06/08/2020|Vente|540000,00|1150.0|CHE|1549|DES LAUVES|13100.0|AIX EN PROVENCE|13|1||ON|533||0|2.0|Appartement|45.0|2.0|2018
1|06/08/2020|Vente|540000,00|1150.0|CHE|1549|DES LAUVES|13100.0|AIX EN PROVENCE|13|1||ON|533||0|2.0|Appartement|53.0|3.0|2018
1|15/06/2020|Vente|488750,00|26.0|RUE|2860|SALLIER|13100.0|AIX EN PROVENCE|13|1||AI|138|34.0|1|2.0|Appartement|77.0|3.0|2018
1|21/08/2020|Vente|315000,00|9001.0|RES|A358|VAL DE LA TORSE|13100.0|AIX EN PROVENCE|13|1||BK|19|51.0|2|2.0|Appartement|82.0|3.0|2018
1|21/08/2020|Vente|140190,00|1.0|AV|3057|DU VAL SAINT ANDRE|13100.0|AIX EN PROVENCE|13|1||BN|197|165.0|1|3.0|Dépendance|0.0|0.0|2018
1|21/08/2020|Vente|140190,00|1.0|AV|3057|DU VAL SAINT ANDRE|13100.0|AIX EN PROVENCE|13|1||BN|197|113.0|1|2.0|Appartement|24.0|1.0|2018
1|21/08/2020|Vente|140190,00|1.0|AV|3057|DU VAL SAINT ANDRE|13100.0|AIX EN PROVENCE|13|1||BN|197|100.0|1|3.0|Dépendance|0.0|0.0|2018
1|10/08/2020|Vente|30000,00|||B369|LE PORTAIL DE LOKY|13100.0|AIX EN PROVENCE|13|1||KL|120||0|||||2018
1|10/08/2020|Vente|30000,00|||B369|LE PORTAIL DE LOKY|13100.0|AIX EN PROVENCE|13|1||KL|120||0|||||2018
